Unsupported PixelFormat 61
Image over I 1
Image over P 3
24 8 0 0
56 8 0 0
72 8 0 0
88 8 0 0
104 8 0 0
120 8 0 0
136 8 0 0
152 8 0 0
168 8 0 0
184 8 0 0
200 8 0 0
216 8 0 0
232 8 0 0
249 8 -1 0
265 8 -1 0
281 8 -1 0
296 8 0 0
312 8 0 0
8 24 0 0
24 24 0 0
40 24 0 0
56 24 0 0
72 24 0 0
88 24 0 0
104 24 0 0
120 24 0 0
136 24 0 0
152 24 0 0
168 24 0 0
184 24 0 0
200 24 0 0
216 24 0 0
233 24 -1 0
248 24 0 0
264 24 0 0
280 24 0 0
295 24 1 0
312 24 0 0
8 40 0 0
24 40 0 0
40 40 0 0
56 40 0 0
72 40 0 0
88 40 0 0
104 40 0 0
120 40 0 0
136 40 0 0
152 40 0 0
168 40 0 0
184 39 0 1
202 39 -2 1
218 39 -2 1
234 39 -2 1
248 40 0 0
264 40 0 0
282 39 -2 1
296 40 0 0
312 40 0 0
8 56 0 0
24 56 0 0
39 55 1 1
56 56 0 0
72 56 0 0
88 56 0 0
104 56 0 0
120 56 0 0
136 56 0 0
152 56 0 0
168 56 0 0
184 56 0 0
200 56 0 0
216 56 0 0
232 56 0 0
250 55 -2 1
266 55 -2 1
280 56 0 0
296 56 0 0
312 56 0 0
12 71 -4 1
28 71 -4 1
44 71 -4 1
60 71 -4 1
72 72 0 0
88 72 0 0
106 71 -2 1
124 71 -4 1
139 71 -3 1
152 72 0 0
168 72 0 0
184 72 0 0
200 72 0 0
216 72 0 0
232 72 0 0
248 72 0 0
264 72 0 0
280 72 0 0
296 72 0 0
312 72 0 0
12 87 -4 1
28 87 -4 1
44 87 -4 1
59 87 -3 1
72 88 0 0
88 87 0 1
108 87 -4 1
123 87 -3 1
139 87 -3 1
155 87 -3 1
168 88 0 0
184 88 0 0
200 88 0 0
216 88 0 0
232 88 0 0
248 88 0 0
264 88 0 0
280 88 0 0
296 88 0 0
312 88 0 0
12 102 -4 2
23 104 1 0
40 104 0 0
56 104 0 0
72 104 0 0
88 104 0 0
107 103 -3 1
120 104 0 0
136 104 0 0
152 104 0 0
168 104 0 0
184 104 0 0
200 104 0 0
216 104 0 0
232 104 0 0
248 104 0 0
264 104 0 0
280 104 0 0
296 104 0 0
312 104 0 0
8 120 0 0
23 118 1 2
40 120 0 0
56 120 0 0
72 120 0 0
88 120 0 0
104 120 0 0
120 120 0 0
136 120 0 0
152 120 0 0
168 120 0 0
184 120 0 0
200 120 0 0
216 120 0 0
232 120 0 0
248 120 0 0
264 120 0 0
280 120 0 0
296 120 0 0
312 120 0 0
7 136 1 0
24 136 0 0
40 136 0 0
56 135 0 1
72 136 0 0
88 136 0 0
104 136 0 0
120 136 0 0
136 136 0 0
152 136 0 0
168 136 0 0
184 136 0 0
200 136 0 0
216 135 0 1
232 136 0 0
248 136 0 0
264 136 0 0
280 136 0 0
296 136 0 0
312 136 0 0
8 152 0 0
24 152 0 0
40 152 0 0
55 151 1 1
71 150 1 2
88 152 0 0
104 152 0 0
120 152 0 0
136 152 0 0
152 152 0 0
168 152 0 0
184 152 0 0
200 152 0 0
216 152 0 0
232 152 0 0
248 152 0 0
264 152 0 0
280 152 0 0
296 152 0 0
312 152 0 0
8 168 0 0
25 168 -1 0
40 168 0 0
56 168 0 0
71 166 1 2
88 168 0 0
103 167 1 1
120 168 0 0
136 168 0 0
152 168 0 0
167 168 1 0
184 168 0 0
200 167 0 1
216 168 0 0
232 168 0 0
248 168 0 0
264 168 0 0
280 168 0 0
296 168 0 0
312 168 0 0
8 182 0 2
24 184 0 0
40 184 0 0
56 184 0 0
72 184 0 0
87 183 1 1
101 181 3 3
120 184 0 0
136 184 0 0
152 184 0 0
169 184 -1 0
184 184 0 0
200 184 0 0
216 183 0 1
231 184 1 0
248 184 0 0
264 184 0 0
280 184 0 0
296 184 0 0
312 184 0 0
Image over P 4
8 8 0 0
24 8 0 0
40 8 0 0
56 8 0 0
72 8 0 0
88 8 0 0
104 8 0 0
120 8 0 0
136 8 0 0
152 8 0 0
168 8 0 0
184 8 0 0
200 8 0 0
216 8 0 0
232 8 0 0
249 8 -1 0
265 8 -1 0
281 8 -1 0
296 8 0 0
312 8 0 0
8 24 0 0
24 24 0 0
40 24 0 0
56 24 0 0
72 24 0 0
88 24 0 0
104 24 0 0
120 24 0 0
136 24 0 0
152 24 0 0
168 24 0 0
184 24 0 0
200 24 0 0
216 24 0 0
232 24 0 0
248 24 0 0
264 24 0 0
280 24 0 0
296 24 0 0
312 24 0 0
8 40 0 0
24 40 0 0
40 40 0 0
56 40 0 0
72 40 0 0
88 40 0 0
103 40 1 0
120 40 0 0
136 40 0 0
152 40 0 0
168 40 0 0
184 40 0 0
202 39 -2 1
218 39 -2 1
234 39 -2 1
248 40 0 0
264 40 0 0
282 39 -2 1
296 40 0 0
312 40 0 0
8 56 0 0
24 56 0 0
38 54 2 2
56 56 0 0
72 56 0 0
88 56 0 0
104 56 0 0
120 56 0 0
136 56 0 0
152 56 0 0
168 56 0 0
184 56 0 0
200 56 0 0
216 56 0 0
232 56 0 0
250 55 -2 1
266 55 -2 1
280 56 0 0
296 56 0 0
312 56 0 0
13 71 -5 1
28 71 -4 1
44 71 -4 1
60 71 -4 1
72 72 0 0
88 72 0 0
108 71 -4 1
124 71 -4 1
140 71 -4 1
152 72 0 0
168 72 0 0
184 72 0 0
200 72 0 0
